DAY,LAW_CODE_NUMERIC,DF_LCC,DF_AB
12,1552500,2,3
7,1200001,2,1
9,1200502,3,2
2,1200001,2,1
15,119203,2,2
12,1553001,3,3
18,2201802,3,1
27,1651503,2,3
1,1201500,2,4
27,1552500,2,4
19,1450001,2,2
9,1552500,2,5
12,353000,2,2
8,119202,3,3
9,1200001,2,4
7,1200001,2,4
14,140100,2,3
5,1553001,3,4
8,1200502,3,4
11,2200605,3,1
1,1552500,2,1
8,1651503,2,2
14,1552500,2,2
7,1200001,2,4
12,1552500,2,5
13,1200001,2,3
13,2200906,3,1
13,1552500,2,3
6,1553501,3,3
10,1211100,2,2
14,1201401,2,1
3,1950500,2,1
4,1553001,3,5
8,1702500,3,2
3,1651503,2,2
9,1651502,2,4
2,1200001,2,2
2,1700500,2,3
3,1200001,2,2
11,1651503,2,4
9,2403002,2,2
6,1950500,2,4
12,2650303,3,5
9,215510,3,2
4,1200502,3,4
6,1201003,3,3
6,1701004,3,2
8,1651503,2,1
3,1703000,3,1
9,1211200,3,1
4,1552500,2,3
5,1200502,3,3
13,1552500,2,2
13,1200600,3,4
10,2200300,2,3
12,215510,3,2
14,1202000,2,3
8,1950500,2,1
2,1552500,2,3
11,1450001,2,5
11,1211200,3,2
12,215510,3,1
10,1211200,3,4
13,0,1,2
10,51101,2,4
12,5700600,4,4
6,1553001,3,3
13,1200512,3,3
8,1601001,3,4
